ScheduleId,LeadId,TaskTypeId,ScheduleTitle,ScheduledDate,TaskStatusId,AssignedAgentId,IsFollowUp,Notes,CreatedBy,CreatedOn
31,852,3,Task for Lead 852,2025-09-28 00:38:48.875319,2,22,1,Priority: High,SYSTEM,2025-09-27 00:38:48.875319
32,1111,2,Task for Lead 1111,2025-10-10 23:38:48.875524,1,8,0,Priority: Low,SYSTEM,2025-10-09 23:38:48.875524
33,982,3,Task for Lead 982,2025-09-16 20:38:48.875782,3,53,1,Priority: High,SYSTEM,2025-09-15 20:38:48.875782
34,404,2,Task for Lead 404,2025-09-23 23:38:48.875985,2,40,0,Priority: Low,SYSTEM,2025-09-22 23:38:48.875985
35,1056,3,Task for Lead 1056,2025-09-05 18:38:48.876170,3,41,0,Priority: Medium,SYSTEM,2025-09-04 18:38:48.876170
36,168,1,Task for Lead 168,2025-08-24 17:38:48.876364,4,51,0,Priority: Medium,SYSTEM,2025-08-23 17:38:48.876364
37,784,4,Task for Lead 784,2025-10-12 22:38:48.876559,1,5,0,Priority: High,SYSTEM,2025-10-11 22:38:48.876559
38,417,3,Task for Lead 417,2025-10-13 20:38:48.876823,1,47,1,Priority: Low,SYSTEM,2025-10-12 20:38:48.876823
39,1101,2,Task for Lead 1101,2025-09-27 21:38:48.877348,2,28,1,Priority: Medium,SYSTEM,2025-09-26 21:38:48.877348
40,803,5,Task for Lead 803,2025-10-12 03:38:48.877859,2,51,0,Priority: Low,SYSTEM,2025-10-11 03:38:48.877859
41,182,3,Task for Lead 182,2025-09-16 00:38:48.878079,3,52,0,Priority: Medium,SYSTEM,2025-09-15 00:38:48.878079
42,717,2,Task for Lead 717,2025-09-20 00:38:48.878281,3,45,0,Priority: Low,SYSTEM,2025-09-19 00:38:48.878281
43,369,1,Task for Lead 369,2025-09-14 20:38:48.878473,4,14,0,Priority: High,SYSTEM,2025-09-13 20:38:48.878473
44,913,2,Task for Lead 913,2025-08-28 20:38:48.878658,4,7,1,Priority: High,SYSTEM,2025-08-27 20:38:48.878658
45,42,1,Task for Lead 42,2025-09-27 22:38:48.878926,2,41,0,Priority: High,SYSTEM,2025-09-26 22:38:48.878926
46,715,5,Task for Lead 715,2025-09-11 22:38:48.879232,3,45,1,Priority: High,SYSTEM,2025-09-10 22:38:48.879232
47,1230,5,Task for Lead 1230,2025-08-31 22:38:48.879457,4,48,0,Priority: Medium,SYSTEM,2025-08-30 22:38:48.879457
48,792,2,Task for Lead 792,2025-10-19 22:38:48.879663,1,32,0,Priority: Low,SYSTEM,2025-10-18 22:38:48.879663
49,294,2,Task for Lead 294,2025-10-01 01:38:48.879929,1,43,0,Priority: Low,SYSTEM,2025-09-30 01:38:48.879929
50,1071,2,Task for Lead 1071,2025-10-10 19:38:48.880120,2,21,1,Priority: Low,SYSTEM,2025-10-09 19:38:48.880120
51,501,1,Task for Lead 501,2025-10-16 02:38:48.880313,1,26,0,Priority: Low,SYSTEM,2025-10-15 02:38:48.880313
52,225,3,Task for Lead 225,2025-10-14 00:38:48.880500,1,27,1,Priority: Medium,SYSTEM,2025-10-13 00:38:48.880500
53,201,1,Task for Lead 201,2025-09-30 21:38:48.880750,2,26,1,Priority: Medium,SYSTEM,2025-09-29 21:38:48.880750
54,631,2,Task for Lead 631,2025-09-20 00:38:48.880954,4,28,0,Priority: Medium,SYSTEM,2025-09-19 00:38:48.880954
55,553,1,Task for Lead 553,2025-10-12 02:38:48.881517,2,40,0,Priority: Medium,SYSTEM,2025-10-11 02:38:48.881517
56,705,3,Task for Lead 705,2025-10-08 23:38:48.881848,2,48,1,Priority: High,SYSTEM,2025-10-07 23:38:48.881848
57,1116,4,Task for Lead 1116,2025-09-05 23:38:48.882046,3,10,0,Priority: Medium,SYSTEM,2025-09-04 23:38:48.882046
58,977,5,Task for Lead 977,2025-09-20 19:38:48.882241,4,7,1,Priority: Low,SYSTEM,2025-09-19 19:38:48.882241
59,414,1,Task for Lead 414,2025-09-13 18:38:48.882428,4,27,0,Priority: Medium,SYSTEM,2025-09-12 18:38:48.882428
60,417,4,Task for Lead 417,2025-09-08 23:38:48.882616,3,43,0,Priority: Medium,SYSTEM,2025-09-07 23:38:48.882616
61,803,5,Task for Lead 803,2025-09-29 03:38:48.882880,1,52,1,Priority: Low,SYSTEM,2025-09-28 03:38:48.882880
62,830,3,Task for Lead 830,2025-10-14 23:38:48.883068,1,7,0,Priority: Low,SYSTEM,2025-10-13 23:38:48.883068
63,336,1,Task for Lead 336,2025-08-31 21:38:48.883400,4,46,0,Priority: High,SYSTEM,2025-08-30 21:38:48.883400
64,625,2,Task for Lead 625,2025-09-13 20:38:48.883592,3,36,0,Priority: Low,SYSTEM,2025-09-12 20:38:48.883592
65,948,2,Task for Lead 948,2025-09-27 21:38:48.883848,2,38,0,Priority: High,SYSTEM,2025-09-26 21:38:48.883848
66,61,3,Task for Lead 61,2025-09-05 17:38:48.884042,4,18,0,Priority: Low,SYSTEM,2025-09-04 17:38:48.884042
67,536,1,Task for Lead 536,2025-10-21 22:38:48.884235,2,46,0,Priority: Low,SYSTEM,2025-10-20 22:38:48.884235
68,766,2,Task for Lead 766,2025-10-05 00:38:48.884422,2,7,0,Priority: High,SYSTEM,2025-10-04 00:38:48.884422
69,295,1,Task for Lead 295,2025-10-16 19:38:48.884612,2,51,1,Priority: Medium,SYSTEM,2025-10-15 19:38:48.884612
70,333,1,Task for Lead 333,2025-09-09 23:38:48.884873,3,51,0,Priority: High,SYSTEM,2025-09-08 23:38:48.884873
71,498,3,Task for Lead 498,2025-10-06 21:38:48.885064,1,41,0,Priority: Medium,SYSTEM,2025-10-05 21:38:48.885064
72,443,1,Task for Lead 443,2025-10-11 21:38:48.885258,1,30,0,Priority: High,SYSTEM,2025-10-10 21:38:48.885258
73,766,3,Task for Lead 766,2025-09-01 19:38:48.885443,3,19,0,Priority: Low,SYSTEM,2025-08-31 19:38:48.885443
74,898,1,Task for Lead 898,2025-09-07 18:38:48.885630,4,49,0,Priority: High,SYSTEM,2025-09-06 18:38:48.885630
75,591,5,Task for Lead 591,2025-10-14 02:38:48.885898,2,39,0,Priority: High,SYSTEM,2025-10-13 02:38:48.885898
76,853,5,Task for Lead 853,2025-09-24 20:38:48.886088,1,51,0,Priority: Medium,SYSTEM,2025-09-23 20:38:48.886088
77,875,3,Task for Lead 875,2025-08-26 17:38:48.886283,4,46,0,Priority: Low,SYSTEM,2025-08-25 17:38:48.886283
78,462,1,Task for Lead 462,2025-09-17 01:38:48.886472,4,50,0,Priority: High,SYSTEM,2025-09-16 01:38:48.886472
79,1036,3,Task for Lead 1036,2025-09-05 19:38:48.886656,4,38,0,Priority: Medium,SYSTEM,2025-09-04 19:38:48.886656
80,1196,5,Task for Lead 1196,2025-10-10 23:38:48.886920,1,14,1,Priority: High,SYSTEM,2025-10-09 23:38:48.886920
81,744,3,Task for Lead 744,2025-10-17 22:38:48.887182,2,9,1,Priority: Medium,SYSTEM,2025-10-16 22:38:48.887182
82,995,2,Task for Lead 995,2025-10-19 03:38:48.887393,1,43,0,Priority: High,SYSTEM,2025-10-18 03:38:48.887393
83,687,2,Task for Lead 687,2025-10-04 00:38:48.887583,2,52,0,Priority: High,SYSTEM,2025-10-03 00:38:48.887583
84,998,5,Task for Lead 998,2025-10-18 19:38:48.887837,1,35,1,Priority: Medium,SYSTEM,2025-10-17 19:38:48.887837
85,935,4,Task for Lead 935,2025-09-07 22:38:48.888031,4,20,1,Priority: Medium,SYSTEM,2025-09-06 22:38:48.888031
86,881,3,Task for Lead 881,2025-10-03 00:38:48.888215,2,32,0,Priority: Medium,SYSTEM,2025-10-02 00:38:48.888215
87,377,2,Task for Lead 377,2025-10-02 23:38:48.888410,2,8,1,Priority: Low,SYSTEM,2025-10-01 23:38:48.888410
88,216,5,Task for Lead 216,2025-09-17 20:38:48.888599,4,42,0,Priority: Medium,SYSTEM,2025-09-16 20:38:48.888599
89,241,3,Task for Lead 241,2025-10-05 02:38:48.888856,1,43,0,Priority: Low,SYSTEM,2025-10-04 02:38:48.888856
90,863,5,Task for Lead 863,2025-09-07 19:38:48.889051,3,32,0,Priority: Low,SYSTEM,2025-09-06 19:38:48.889051
91,902,1,Task for Lead 902,2025-09-06 22:38:48.889248,4,14,0,Priority: High,SYSTEM,2025-09-05 22:38:48.889248
92,256,2,Task for Lead 256,2025-08-26 22:38:48.889435,4,13,1,Priority: Low,SYSTEM,2025-08-25 22:38:48.889435
93,27,4,Task for Lead 27,2025-08-23 21:38:48.889623,4,32,1,Priority: Medium,SYSTEM,2025-08-22 21:38:48.889623
94,33,3,Task for Lead 33,2025-09-02 20:38:48.889883,3,21,0,Priority: Low,SYSTEM,2025-09-01 20:38:48.889883
95,907,5,Task for Lead 907,2025-09-02 19:38:48.890074,4,12,0,Priority: Medium,SYSTEM,2025-09-01 19:38:48.890074
96,926,4,Task for Lead 926,2025-09-08 22:38:48.890268,4,4,1,Priority: High,SYSTEM,2025-09-07 22:38:48.890268
97,447,5,Task for Lead 447,2025-10-03 22:38:48.890455,1,44,0,Priority: Medium,SYSTEM,2025-10-02 22:38:48.890455
98,42,5,Task for Lead 42,2025-09-07 19:38:48.890641,4,13,0,Priority: Medium,SYSTEM,2025-09-06 19:38:48.890641
99,1147,2,Task for Lead 1147,2025-09-16 01:38:48.890898,4,14,0,Priority: Medium,SYSTEM,2025-09-15 01:38:48.890898
100,350,4,Task for Lead 350,2025-09-29 00:38:48.891150,1,31,1,Priority: Low,SYSTEM,2025-09-28 00:38:48.891150
101,1240,1,Task for Lead 1240,2025-09-24 01:38:48.891364,2,19,1,Priority: High,SYSTEM,2025-09-23 01:38:48.891364
102,159,3,Task for Lead 159,2025-09-08 19:38:48.891554,4,45,1,Priority: High,SYSTEM,2025-09-07 19:38:48.891554
103,718,3,Task for Lead 718,2025-10-19 00:38:48.891806,1,44,0,Priority: Low,SYSTEM,2025-10-18 00:38:48.891806
104,1168,1,Task for Lead 1168,2025-09-13 20:38:48.892008,4,53,1,Priority: Low,SYSTEM,2025-09-12 20:38:48.892008
105,868,4,Task for Lead 868,2025-08-24 23:38:48.892194,3,16,0,Priority: Medium,SYSTEM,2025-08-23 23:38:48.892194
106,1114,2,Task for Lead 1114,2025-08-29 21:38:48.892388,4,38,0,Priority: Low,SYSTEM,2025-08-28 21:38:48.892388
107,364,4,Task for Lead 364,2025-10-06 19:38:48.892575,2,18,1,Priority: High,SYSTEM,2025-10-05 19:38:48.892575
108,1193,1,Task for Lead 1193,2025-09-15 23:38:48.892828,3,23,0,Priority: Low,SYSTEM,2025-09-14 23:38:48.892828
109,990,2,Task for Lead 990,2025-10-12 22:38:48.893026,1,14,0,Priority: Medium,SYSTEM,2025-10-11 22:38:48.893026
110,669,2,Task for Lead 669,2025-09-13 00:38:48.893214,3,47,1,Priority: High,SYSTEM,2025-09-12 00:38:48.893214
111,1092,1,Task for Lead 1092,2025-10-06 19:38:48.893411,1,13,0,Priority: Medium,SYSTEM,2025-10-05 19:38:48.893411
112,692,2,Task for Lead 692,2025-10-07 20:38:48.893599,1,18,1,Priority: Low,SYSTEM,2025-10-06 20:38:48.893599
113,674,3,Task for Lead 674,2025-09-07 20:38:48.893858,3,4,1,Priority: Medium,SYSTEM,2025-09-06 20:38:48.893858
114,1138,5,Task for Lead 1138,2025-09-25 19:38:48.894049,1,52,0,Priority: Low,SYSTEM,2025-09-24 19:38:48.894049
115,703,3,Task for Lead 703,2025-10-16 22:38:48.894242,1,8,0,Priority: High,SYSTEM,2025-10-15 22:38:48.894242
116,964,4,Task for Lead 964,2025-09-07 19:38:48.894428,4,18,1,Priority: Low,SYSTEM,2025-09-06 19:38:48.894428
117,432,5,Task for Lead 432,2025-08-29 21:38:48.894617,3,5,1,Priority: Low,SYSTEM,2025-08-28 21:38:48.894617
118,1104,3,Task for Lead 1104,2025-09-16 17:38:48.894877,3,27,1,Priority: Low,SYSTEM,2025-09-15 17:38:48.894877
119,658,5,Task for Lead 658,2025-08-27 01:38:48.895067,4,53,0,Priority: Low,SYSTEM,2025-08-26 01:38:48.895067
120,15,1,Task for Lead 15,2025-10-07 23:38:48.895354,2,31,1,Priority: High,SYSTEM,2025-10-06 23:38:48.895354
121,705,4,Task for Lead 705,2025-08-27 19:38:48.895547,4,3,0,Priority: High,SYSTEM,2025-08-26 19:38:48.895547
122,1005,2,Task for Lead 1005,2025-08-25 23:38:48.895812,4,27,0,Priority: Medium,SYSTEM,2025-08-24 23:38:48.895812
123,282,3,Task for Lead 282,2025-09-29 20:38:48.896015,2,42,0,Priority: High,SYSTEM,2025-09-28 20:38:48.896015
124,898,4,Task for Lead 898,2025-10-20 01:38:48.896201,1,41,1,Priority: Low,SYSTEM,2025-10-19 01:38:48.896201
125,120,5,Task for Lead 120,2025-10-10 22:38:48.896397,1,5,1,Priority: Medium,SYSTEM,2025-10-09 22:38:48.896397
126,603,5,Task for Lead 603,2025-10-09 22:38:48.896585,1,21,0,Priority: Medium,SYSTEM,2025-10-08 22:38:48.896585
127,555,3,Task for Lead 555,2025-09-10 18:38:48.896847,4,17,1,Priority: High,SYSTEM,2025-09-09 18:38:48.896847
128,103,4,Task for Lead 103,2025-09-19 01:38:48.897044,4,43,0,Priority: Medium,SYSTEM,2025-09-18 01:38:48.897044
129,92,5,Task for Lead 92,2025-10-03 01:38:48.897236,2,47,0,Priority: High,SYSTEM,2025-10-02 01:38:48.897236
130,868,4,Task for Lead 868,2025-10-11 02:38:48.897425,2,16,0,Priority: Medium,SYSTEM,2025-10-10 02:38:48.897425
131,1109,3,Task for Lead 1109,2025-09-04 01:38:48.897613,3,20,1,Priority: High,SYSTEM,2025-09-03 01:38:48.897613
132,110,2,Task for Lead 110,2025-10-03 20:38:48.897869,2,52,0,Priority: High,SYSTEM,2025-10-02 20:38:48.897869
133,408,2,Task for Lead 408,2025-10-21 03:38:48.898057,2,1,1,Priority: High,SYSTEM,2025-10-20 03:38:48.898057
134,1057,1,Task for Lead 1057,2025-10-14 23:38:48.898251,1,51,0,Priority: Medium,SYSTEM,2025-10-13 23:38:48.898251
135,864,2,Task for Lead 864,2025-08-31 00:38:48.898437,3,19,0,Priority: High,SYSTEM,2025-08-30 00:38:48.898437
136,856,5,Task for Lead 856,2025-09-06 00:38:48.898624,4,15,0,Priority: High,SYSTEM,2025-09-05 00:38:48.898624
137,508,4,Task for Lead 508,2025-10-12 23:38:48.898885,2,39,1,Priority: Low,SYSTEM,2025-10-11 23:38:48.898885
138,215,5,Task for Lead 215,2025-09-27 23:38:48.899130,2,36,1,Priority: High,SYSTEM,2025-09-26 23:38:48.899130
139,186,2,Task for Lead 186,2025-09-19 22:38:48.899355,3,38,0,Priority: Medium,SYSTEM,2025-09-18 22:38:48.899355
140,510,1,Task for Lead 510,2025-10-17 20:38:48.899545,2,34,0,Priority: High,SYSTEM,2025-10-16 20:38:48.899545
141,1012,5,Task for Lead 1012,2025-08-29 23:38:48.899795,4,47,1,Priority: High,SYSTEM,2025-08-28 23:38:48.899795
142,17,3,Task for Lead 17,2025-09-07 00:38:48.900002,3,10,0,Priority: High,SYSTEM,2025-09-06 00:38:48.900002
143,851,3,Task for Lead 851,2025-09-05 21:38:48.900190,3,45,1,Priority: Medium,SYSTEM,2025-09-04 21:38:48.900190
144,1173,3,Task for Lead 1173,2025-09-14 22:38:48.900386,3,41,1,Priority: Low,SYSTEM,2025-09-13 22:38:48.900386
145,258,5,Task for Lead 258,2025-09-10 21:38:48.900573,3,46,1,Priority: Medium,SYSTEM,2025-09-09 21:38:48.900573
146,574,3,Task for Lead 574,2025-09-07 19:38:48.900827,3,45,1,Priority: High,SYSTEM,2025-09-06 19:38:48.900827
147,696,1,Task for Lead 696,2025-09-11 23:38:48.901028,4,19,1,Priority: Low,SYSTEM,2025-09-10 23:38:48.901028
148,342,1,Task for Lead 342,2025-10-13 00:38:48.901250,2,28,0,Priority: Low,SYSTEM,2025-10-12 00:38:48.901250
149,198,2,Task for Lead 198,2025-09-03 19:38:48.901438,4,28,0,Priority: Medium,SYSTEM,2025-09-02 19:38:48.901438
150,681,5,Task for Lead 681,2025-10-02 01:38:48.901628,2,52,0,Priority: Medium,SYSTEM,2025-10-01 01:38:48.901628
151,1032,4,Task for Lead 1032,2025-10-09 21:38:48.901889,1,9,1,Priority: Low,SYSTEM,2025-10-08 21:38:48.901889
152,204,2,Task for Lead 204,2025-08-30 01:38:48.902080,3,30,0,Priority: High,SYSTEM,2025-08-29 01:38:48.902080
153,982,3,Task for Lead 982,2025-08-27 17:38:48.902274,4,52,0,Priority: Low,SYSTEM,2025-08-26 17:38:48.902274
154,784,5,Task for Lead 784,2025-09-26 21:38:48.902461,2,46,0,Priority: High,SYSTEM,2025-09-25 21:38:48.902461
155,823,1,Task for Lead 823,2025-10-19 03:38:48.902650,2,35,1,Priority: Low,SYSTEM,2025-10-18 03:38:48.902650
156,1063,3,Task for Lead 1063,2025-09-01 23:38:48.902916,4,42,1,Priority: High,SYSTEM,2025-08-31 23:38:48.902916
157,1188,5,Task for Lead 1188,2025-09-05 17:38:48.903252,3,27,0,Priority: Medium,SYSTEM,2025-09-04 17:38:48.903252
158,521,2,Task for Lead 521,2025-10-13 02:38:48.903482,2,4,0,Priority: High,SYSTEM,2025-10-12 02:38:48.903482
159,185,2,Task for Lead 185,2025-10-12 23:38:48.903721,1,22,0,Priority: Low,SYSTEM,2025-10-11 23:38:48.903721
160,927,5,Task for Lead 927,2025-10-08 01:38:48.903931,2,28,1,Priority: High,SYSTEM,2025-10-07 01:38:48.903931
161,817,3,Task for Lead 817,2025-10-21 23:38:48.904118,2,8,1,Priority: Low,SYSTEM,2025-10-20 23:38:48.904118
162,446,1,Task for Lead 446,2025-09-14 23:38:48.904321,4,28,0,Priority: Low,SYSTEM,2025-09-13 23:38:48.904321
163,316,5,Task for Lead 316,2025-09-27 20:38:48.904511,1,45,0,Priority: Low,SYSTEM,2025-09-26 20:38:48.904511
164,986,1,Task for Lead 986,2025-09-19 18:38:48.904762,3,15,0,Priority: Medium,SYSTEM,2025-09-18 18:38:48.904762
165,620,4,Task for Lead 620,2025-08-27 23:38:48.904965,3,48,1,Priority: Medium,SYSTEM,2025-08-26 23:38:48.904965
166,731,1,Task for Lead 731,2025-10-19 22:38:48.905152,2,14,0,Priority: Low,SYSTEM,2025-10-18 22:38:48.905152
167,1045,2,Task for Lead 1045,2025-10-10 21:38:48.905348,1,13,1,Priority: Medium,SYSTEM,2025-10-09 21:38:48.905348
168,553,4,Task for Lead 553,2025-08-28 23:38:48.905539,3,14,1,Priority: Medium,SYSTEM,2025-08-27 23:38:48.905539
169,551,3,Task for Lead 551,2025-09-18 21:38:48.905778,3,48,0,Priority: Medium,SYSTEM,2025-09-17 21:38:48.905778
170,160,3,Task for Lead 160,2025-10-01 21:38:48.905979,1,1,0,Priority: Medium,SYSTEM,2025-09-30 21:38:48.905979
171,226,5,Task for Lead 226,2025-08-25 01:38:48.906166,3,17,0,Priority: Medium,SYSTEM,2025-08-24 01:38:48.906166
172,241,4,Task for Lead 241,2025-10-11 03:38:48.906360,2,54,0,Priority: Low,SYSTEM,2025-10-10 03:38:48.906360
173,368,4,Task for Lead 368,2025-10-05 22:38:48.906546,2,35,0,Priority: High,SYSTEM,2025-10-04 22:38:48.906546
174,781,5,Task for Lead 781,2025-10-17 03:38:48.906792,1,5,1,Priority: High,SYSTEM,2025-10-16 03:38:48.906792
175,910,3,Task for Lead 910,2025-10-05 19:38:48.906994,2,45,1,Priority: Low,SYSTEM,2025-10-04 19:38:48.906994
176,991,2,Task for Lead 991,2025-09-23 19:38:48.907274,1,35,1,Priority: High,SYSTEM,2025-09-22 19:38:48.907274
177,1106,5,Task for Lead 1106,2025-10-14 00:38:48.907471,2,27,0,Priority: Low,SYSTEM,2025-10-13 00:38:48.907471
178,1014,2,Task for Lead 1014,2025-09-24 00:38:48.907658,2,18,0,Priority: High,SYSTEM,2025-09-23 00:38:48.907658
179,299,4,Task for Lead 299,2025-10-01 20:38:48.907929,2,4,1,Priority: Medium,SYSTEM,2025-09-30 20:38:48.907929
180,1184,4,Task for Lead 1184,2025-10-21 22:38:48.908116,1,7,0,Priority: Medium,SYSTEM,2025-10-20 22:38:48.908116
181,1131,1,Task for Lead 1131,2025-10-19 02:38:48.908308,1,23,0,Priority: Medium,SYSTEM,2025-10-18 02:38:48.908308
182,51,5,Task for Lead 51,2025-09-02 18:38:48.908496,4,52,1,Priority: Medium,SYSTEM,2025-09-01 18:38:48.908496
183,328,1,Task for Lead 328,2025-09-05 21:38:48.908744,4,42,1,Priority: Medium,SYSTEM,2025-09-04 21:38:48.908744
184,1027,2,Task for Lead 1027,2025-09-10 00:38:48.908951,3,54,0,Priority: High,SYSTEM,2025-09-09 00:38:48.908951
185,211,2,Task for Lead 211,2025-10-08 20:38:48.909138,1,44,0,Priority: High,SYSTEM,2025-10-07 20:38:48.909138
186,373,5,Task for Lead 373,2025-10-08 23:38:48.909335,2,11,0,Priority: High,SYSTEM,2025-10-07 23:38:48.909335
187,1045,4,Task for Lead 1045,2025-09-02 22:38:48.909524,4,54,0,Priority: Low,SYSTEM,2025-09-01 22:38:48.909524
188,328,2,Task for Lead 328,2025-10-19 01:38:48.909769,1,40,0,Priority: High,SYSTEM,2025-10-18 01:38:48.909769
189,833,3,Task for Lead 833,2025-10-17 00:38:48.909970,1,5,0,Priority: Medium,SYSTEM,2025-10-16 00:38:48.909970
190,1007,2,Task for Lead 1007,2025-09-13 17:38:48.910161,4,15,1,Priority: Low,SYSTEM,2025-09-12 17:38:48.910161
191,543,2,Task for Lead 543,2025-08-29 19:38:48.910357,4,25,1,Priority: Medium,SYSTEM,2025-08-28 19:38:48.910357
192,405,3,Task for Lead 405,2025-10-17 03:38:48.910545,1,19,1,Priority: Low,SYSTEM,2025-10-16 03:38:48.910545
193,45,3,Task for Lead 45,2025-09-25 00:38:48.910789,1,30,1,Priority: Low,SYSTEM,2025-09-24 00:38:48.910789
194,828,1,Task for Lead 828,2025-09-18 22:38:48.910990,4,30,0,Priority: Low,SYSTEM,2025-09-17 22:38:48.910990
195,880,2,Task for Lead 880,2025-09-04 17:38:48.911263,3,45,0,Priority: Medium,SYSTEM,2025-09-03 17:38:48.911263
196,290,3,Task for Lead 290,2025-09-07 19:38:48.911459,3,54,0,Priority: High,SYSTEM,2025-09-06 19:38:48.911459
197,224,5,Task for Lead 224,2025-09-07 01:38:48.911650,4,31,0,Priority: High,SYSTEM,2025-09-06 01:38:48.911650
198,106,5,Task for Lead 106,2025-09-11 23:38:48.911914,4,10,0,Priority: High,SYSTEM,2025-09-10 23:38:48.911914
199,695,5,Task for Lead 695,2025-09-27 01:38:48.912102,1,8,0,Priority: Low,SYSTEM,2025-09-26 01:38:48.912102
200,723,2,Task for Lead 723,2025-08-23 20:38:48.912295,3,3,0,Priority: High,SYSTEM,2025-08-22 20:38:48.912295
201,33,2,Task for Lead 33,2025-10-18 01:38:48.912482,1,8,0,Priority: High,SYSTEM,2025-10-17 01:38:48.912482
202,820,4,Task for Lead 820,2025-10-01 23:38:48.912720,1,15,1,Priority: High,SYSTEM,2025-09-30 23:38:48.912720
203,436,2,Task for Lead 436,2025-10-10 00:38:48.912933,1,45,0,Priority: Medium,SYSTEM,2025-10-09 00:38:48.912933
204,1037,2,Task for Lead 1037,2025-08-23 17:38:48.913119,3,20,0,Priority: High,SYSTEM,2025-08-22 17:38:48.913119
205,800,4,Task for Lead 800,2025-09-14 22:38:48.913312,3,55,0,Priority: Medium,SYSTEM,2025-09-13 22:38:48.913312
