LeadCallId,LeadId,CallId,CallDateTime,DurationSeconds,CallStatusId,SentimentId,AssignedAgentId,CallDirection,IsAIGenerated,CreatedBy,CreatedOn
16,63,CALL000016,2025-09-04 01:38:45.823218,91,1,4.0,55,Outbound,0,SYSTEM,2025-09-04 01:38:45.823218
17,462,CALL000017,2025-09-20 21:38:45.823452,14,3,,48,Outbound,0,SYSTEM,2025-09-20 21:38:45.823452
18,44,CALL000018,2025-08-27 18:38:45.823638,15,4,,14,Inbound,0,SYSTEM,2025-08-27 18:38:45.823638
19,936,CALL000019,2025-09-03 23:38:45.823879,158,1,4.0,1,Inbound,0,SYSTEM,2025-09-03 23:38:45.823879
20,980,CALL000020,2025-09-02 00:38:45.824087,255,1,1.0,4,Outbound,1,SYSTEM,2025-09-02 00:38:45.824087
21,240,CALL000021,2025-09-11 01:38:45.824315,20,5,,45,Outbound,1,SYSTEM,2025-09-11 01:38:45.824315
22,137,CALL000022,2025-09-01 20:38:45.824505,114,1,2.0,19,Outbound,0,SYSTEM,2025-09-01 20:38:45.824505
23,733,CALL000023,2025-08-30 21:38:45.824754,35,4,,44,Outbound,1,SYSTEM,2025-08-30 21:38:45.824754
24,1036,CALL000024,2025-09-02 22:38:45.824951,17,2,,17,Outbound,0,SYSTEM,2025-09-02 22:38:45.824951
25,218,CALL000025,2025-09-11 18:38:45.825135,454,1,3.0,31,Outbound,0,SYSTEM,2025-09-11 18:38:45.825135
26,361,CALL000026,2025-09-13 01:38:45.825352,210,1,4.0,11,Outbound,1,SYSTEM,2025-09-13 01:38:45.825352
27,906,CALL000027,2025-08-23 22:38:45.825561,217,1,1.0,7,Outbound,0,SYSTEM,2025-08-23 22:38:45.825561
28,70,CALL000028,2025-09-12 20:38:45.825817,52,2,,22,Inbound,1,SYSTEM,2025-09-12 20:38:45.825817
29,1090,CALL000029,2025-09-06 01:38:45.826008,27,4,,33,Outbound,0,SYSTEM,2025-09-06 01:38:45.826008
30,882,CALL000030,2025-09-15 22:38:45.826196,10,3,,22,Outbound,0,SYSTEM,2025-09-15 22:38:45.826196
31,524,CALL000031,2025-08-25 23:38:45.826393,57,3,,46,Outbound,1,SYSTEM,2025-08-25 23:38:45.826393
32,33,CALL000032,2025-09-03 00:38:45.826577,26,5,,8,Outbound,0,SYSTEM,2025-09-03 00:38:45.826577
33,266,CALL000033,2025-09-07 18:38:45.826813,42,4,,38,Outbound,0,SYSTEM,2025-09-07 18:38:45.826813
34,798,CALL000034,2025-08-27 23:38:45.827004,49,2,,31,Outbound,1,SYSTEM,2025-08-27 23:38:45.827004
35,7,CALL000035,2025-09-18 00:38:45.827281,700,1,2.0,23,Outbound,0,SYSTEM,2025-09-18 00:38:45.827281
36,793,CALL000036,2025-09-01 22:38:45.827499,213,1,2.0,9,Outbound,0,SYSTEM,2025-09-01 22:38:45.827499
37,849,CALL000037,2025-08-25 19:38:45.827782,48,3,,42,Outbound,1,SYSTEM,2025-08-25 19:38:45.827782
38,146,CALL000038,2025-09-04 00:38:45.827988,31,4,,28,Outbound,1,SYSTEM,2025-09-04 00:38:45.827988
39,252,CALL000039,2025-08-24 20:38:45.828175,485,1,3.0,12,Outbound,1,SYSTEM,2025-08-24 20:38:45.828175
40,1129,CALL000040,2025-08-24 17:38:45.828393,847,1,3.0,33,Outbound,0,SYSTEM,2025-08-24 17:38:45.828393
41,607,CALL000041,2025-09-03 22:38:45.828600,55,3,,31,Inbound,1,SYSTEM,2025-09-03 22:38:45.828600
42,1117,CALL000042,2025-09-13 00:38:45.828843,739,1,3.0,34,Outbound,1,SYSTEM,2025-09-13 00:38:45.828843
43,839,CALL000043,2025-08-29 01:38:45.829055,271,1,3.0,23,Outbound,0,SYSTEM,2025-08-29 01:38:45.829055
44,247,CALL000044,2025-09-16 19:38:45.829271,12,4,,47,Outbound,0,SYSTEM,2025-09-16 19:38:45.829271
45,315,CALL000045,2025-09-11 18:38:45.829458,252,1,3.0,51,Outbound,1,SYSTEM,2025-09-11 18:38:45.829458
46,677,CALL000046,2025-08-26 19:38:45.829665,203,1,3.0,23,Outbound,0,SYSTEM,2025-08-26 19:38:45.829665
47,702,CALL000047,2025-09-01 19:38:45.829931,44,5,,47,Outbound,1,SYSTEM,2025-09-01 19:38:45.829931
48,194,CALL000048,2025-09-09 18:38:45.830119,50,4,,21,Outbound,1,SYSTEM,2025-09-09 18:38:45.830119
49,1031,CALL000049,2025-08-25 21:38:45.830315,515,1,1.0,42,Outbound,1,SYSTEM,2025-08-25 21:38:45.830315
50,243,CALL000050,2025-08-31 17:38:45.830527,19,3,,3,Outbound,0,SYSTEM,2025-08-31 17:38:45.830527
51,436,CALL000051,2025-09-07 22:38:45.830756,18,3,,34,Outbound,0,SYSTEM,2025-09-07 22:38:45.830756
52,340,CALL000052,2025-09-03 23:38:45.830954,48,2,,30,Outbound,0,SYSTEM,2025-09-03 23:38:45.830954
53,553,CALL000053,2025-09-01 23:38:45.831205,499,1,1.0,47,Outbound,1,SYSTEM,2025-09-01 23:38:45.831205
54,16,CALL000054,2025-08-25 01:38:45.831442,346,1,3.0,18,Inbound,1,SYSTEM,2025-08-25 01:38:45.831442
55,395,CALL000055,2025-09-01 21:38:45.831650,29,5,,38,Outbound,1,SYSTEM,2025-09-01 21:38:45.831650
56,456,CALL000056,2025-09-01 19:38:45.831894,53,4,,34,Outbound,1,SYSTEM,2025-09-01 19:38:45.831894
57,12,CALL000057,2025-08-31 23:38:45.832083,46,2,,12,Inbound,1,SYSTEM,2025-08-31 23:38:45.832083
58,452,CALL000058,2025-09-18 23:38:45.832276,322,1,4.0,40,Outbound,0,SYSTEM,2025-09-18 23:38:45.832276
59,1047,CALL000059,2025-09-20 23:38:45.832487,35,2,,16,Outbound,0,SYSTEM,2025-09-20 23:38:45.832487
60,674,CALL000060,2025-09-16 23:38:45.832706,54,3,,13,Outbound,0,SYSTEM,2025-09-16 23:38:45.832706
61,148,CALL000061,2025-09-15 17:38:45.832911,18,5,,17,Outbound,1,SYSTEM,2025-09-15 17:38:45.832911
62,366,CALL000062,2025-08-25 19:38:45.833098,23,2,,3,Outbound,1,SYSTEM,2025-08-25 19:38:45.833098
63,854,CALL000063,2025-08-26 20:38:45.833292,11,3,,26,Inbound,1,SYSTEM,2025-08-26 20:38:45.833292
64,579,CALL000064,2025-08-29 20:38:45.833478,27,4,,30,Outbound,0,SYSTEM,2025-08-29 20:38:45.833478
65,875,CALL000065,2025-09-03 01:38:45.833662,29,4,,21,Outbound,0,SYSTEM,2025-09-03 01:38:45.833662
66,865,CALL000066,2025-09-21 19:38:45.833904,655,1,3.0,44,Inbound,1,SYSTEM,2025-09-21 19:38:45.833904
67,455,CALL000067,2025-08-28 22:38:45.834113,21,3,,39,Outbound,1,SYSTEM,2025-08-28 22:38:45.834113
68,332,CALL000068,2025-09-21 00:38:45.834307,46,2,,18,Outbound,0,SYSTEM,2025-09-21 00:38:45.834307
69,1172,CALL000069,2025-09-03 19:38:45.834494,32,2,,54,Outbound,0,SYSTEM,2025-09-03 19:38:45.834494
70,349,CALL000070,2025-08-27 22:38:45.834718,15,5,,12,Outbound,1,SYSTEM,2025-08-27 22:38:45.834718
71,18,CALL000071,2025-09-07 20:38:45.834920,10,4,,10,Outbound,0,SYSTEM,2025-09-07 20:38:45.834920
72,653,CALL000072,2025-09-05 00:38:45.835168,32,4,,17,Outbound,0,SYSTEM,2025-09-05 00:38:45.835168
73,96,CALL000073,2025-08-28 01:38:45.835381,869,1,1.0,43,Outbound,1,SYSTEM,2025-08-28 01:38:45.835381
74,214,CALL000074,2025-09-02 00:38:45.835592,56,1,2.0,10,Outbound,0,SYSTEM,2025-09-02 00:38:45.835592
75,443,CALL000075,2025-09-12 17:38:45.835855,13,4,,38,Outbound,1,SYSTEM,2025-09-12 17:38:45.835855
76,836,CALL000076,2025-09-21 22:38:45.836048,48,4,,10,Outbound,0,SYSTEM,2025-09-21 22:38:45.836048
77,106,CALL000077,2025-09-21 23:38:45.836244,39,2,,41,Outbound,1,SYSTEM,2025-09-21 23:38:45.836244
78,1214,CALL000078,2025-08-23 19:38:45.836436,18,5,,30,Outbound,1,SYSTEM,2025-08-23 19:38:45.836436
79,762,CALL000079,2025-09-21 21:38:45.836621,26,2,,3,Outbound,1,SYSTEM,2025-09-21 21:38:45.836621
80,181,CALL000080,2025-09-02 01:38:45.836859,13,2,,47,Outbound,1,SYSTEM,2025-09-02 01:38:45.836859
81,446,CALL000081,2025-09-20 01:38:45.837046,19,3,,23,Outbound,0,SYSTEM,2025-09-20 01:38:45.837046
82,1165,CALL000082,2025-09-11 19:38:45.837230,54,3,,10,Outbound,0,SYSTEM,2025-09-11 19:38:45.837230
83,868,CALL000083,2025-09-15 19:38:45.837427,31,3,,4,Inbound,0,SYSTEM,2025-09-15 19:38:45.837427
84,1003,CALL000084,2025-08-27 22:38:45.837611,43,3,,51,Outbound,1,SYSTEM,2025-08-27 22:38:45.837611
85,161,CALL000085,2025-08-23 22:38:45.837845,876,1,5.0,10,Outbound,1,SYSTEM,2025-08-23 22:38:45.837845
86,949,CALL000086,2025-09-09 20:38:45.838057,370,1,1.0,14,Outbound,0,SYSTEM,2025-09-09 20:38:45.838057
87,792,CALL000087,2025-09-13 20:38:45.838273,851,1,1.0,16,Outbound,1,SYSTEM,2025-09-13 20:38:45.838273
88,1041,CALL000088,2025-09-02 20:38:45.838483,31,4,,22,Outbound,1,SYSTEM,2025-09-02 20:38:45.838483
89,590,CALL000089,2025-09-11 19:38:45.838700,42,2,,8,Outbound,0,SYSTEM,2025-09-11 19:38:45.838700
90,159,CALL000090,2025-08-24 17:38:45.838907,29,2,,26,Inbound,0,SYSTEM,2025-08-24 17:38:45.838907
91,710,CALL000091,2025-08-24 17:38:45.839158,44,3,,19,Outbound,0,SYSTEM,2025-08-24 17:38:45.839158
92,153,CALL000092,2025-09-07 21:38:45.839368,42,2,,13,Outbound,0,SYSTEM,2025-09-07 21:38:45.839368
93,1007,CALL000093,2025-09-05 17:38:45.839554,11,5,,19,Outbound,0,SYSTEM,2025-09-05 17:38:45.839554
94,986,CALL000094,2025-09-20 19:38:45.839787,43,4,,34,Outbound,0,SYSTEM,2025-09-20 19:38:45.839787
95,216,CALL000095,2025-09-07 17:38:45.839985,13,5,,18,Inbound,1,SYSTEM,2025-09-07 17:38:45.839985
96,738,CALL000096,2025-09-12 22:38:45.840171,19,3,,25,Outbound,0,SYSTEM,2025-09-12 22:38:45.840171
97,1085,CALL000097,2025-09-20 20:38:45.840370,59,2,,27,Inbound,0,SYSTEM,2025-09-20 20:38:45.840370
98,592,CALL000098,2025-08-23 18:38:45.840555,323,1,3.0,27,Outbound,0,SYSTEM,2025-08-23 18:38:45.840555
99,875,CALL000099,2025-09-18 01:38:45.840815,56,2,,30,Outbound,0,SYSTEM,2025-09-18 01:38:45.840815
100,368,CALL000100,2025-09-07 00:38:45.841010,728,1,1.0,35,Outbound,0,SYSTEM,2025-09-07 00:38:45.841010
101,1217,CALL000101,2025-08-30 01:38:45.841254,40,2,,51,Outbound,0,SYSTEM,2025-08-30 01:38:45.841254
102,837,CALL000102,2025-09-19 22:38:45.841452,29,2,,10,Outbound,1,SYSTEM,2025-09-19 22:38:45.841452
103,1213,CALL000103,2025-09-12 18:38:45.841649,567,1,3.0,41,Outbound,0,SYSTEM,2025-09-12 18:38:45.841649
104,976,CALL000104,2025-08-27 17:38:45.841919,33,3,,53,Outbound,0,SYSTEM,2025-08-27 17:38:45.841919
105,703,CALL000105,2025-09-14 01:38:45.842115,19,3,,54,Outbound,0,SYSTEM,2025-09-14 01:38:45.842115
106,912,CALL000106,2025-09-15 17:38:45.842316,47,2,,48,Outbound,0,SYSTEM,2025-09-15 17:38:45.842316
107,470,CALL000107,2025-09-18 22:38:45.842508,36,1,3.0,35,Inbound,1,SYSTEM,2025-09-18 22:38:45.842508
108,1025,CALL000108,2025-08-24 22:38:45.842761,186,1,4.0,44,Outbound,1,SYSTEM,2025-08-24 22:38:45.842761
109,1118,CALL000109,2025-09-01 20:38:45.842985,344,1,5.0,20,Outbound,1,SYSTEM,2025-09-01 20:38:45.842985
110,917,CALL000110,2025-08-23 19:38:45.843545,15,2,,40,Outbound,0,SYSTEM,2025-08-23 19:38:45.843545
111,972,CALL000111,2025-08-23 23:38:45.843838,57,4,,30,Outbound,0,SYSTEM,2025-08-23 23:38:45.843838
112,1061,CALL000112,2025-09-02 19:38:45.844031,46,3,,51,Outbound,0,SYSTEM,2025-09-02 19:38:45.844031
113,303,CALL000113,2025-09-17 19:38:45.844217,597,1,5.0,16,Outbound,1,SYSTEM,2025-09-17 19:38:45.844217
114,62,CALL000114,2025-09-01 00:38:45.844437,399,1,3.0,45,Outbound,0,SYSTEM,2025-09-01 00:38:45.844437
115,179,CALL000115,2025-09-09 19:38:45.844643,608,1,3.0,12,Outbound,0,SYSTEM,2025-09-09 19:38:45.844643
116,103,CALL000116,2025-09-19 20:38:45.844905,21,2,,54,Outbound,0,SYSTEM,2025-09-19 20:38:45.844905
117,551,CALL000117,2025-09-11 23:38:45.845093,145,1,2.0,36,Inbound,1,SYSTEM,2025-09-11 23:38:45.845093
118,786,CALL000118,2025-09-12 20:38:45.845310,209,1,1.0,52,Outbound,1,SYSTEM,2025-09-12 20:38:45.845310
119,1028,CALL000119,2025-09-02 18:38:45.845520,15,3,,18,Outbound,0,SYSTEM,2025-09-02 18:38:45.845520
120,387,CALL000120,2025-08-25 23:38:45.845742,14,3,,31,Outbound,1,SYSTEM,2025-08-25 23:38:45.845742
121,352,CALL000121,2025-09-19 17:38:45.845942,795,1,2.0,39,Outbound,0,SYSTEM,2025-09-19 17:38:45.845942
122,339,CALL000122,2025-08-23 19:38:45.846152,28,2,,20,Outbound,1,SYSTEM,2025-08-23 19:38:45.846152
123,686,CALL000123,2025-08-30 17:38:45.846345,59,3,,46,Inbound,1,SYSTEM,2025-08-30 17:38:45.846345
124,122,CALL000124,2025-08-25 19:38:45.846532,43,3,,31,Outbound,0,SYSTEM,2025-08-25 19:38:45.846532
125,843,CALL000125,2025-09-16 20:38:45.846759,46,3,,26,Inbound,1,SYSTEM,2025-09-16 20:38:45.846759
126,707,CALL000126,2025-08-27 21:38:45.846956,157,1,2.0,55,Outbound,1,SYSTEM,2025-08-27 21:38:45.846956
127,640,CALL000127,2025-08-28 21:38:45.847464,166,1,1.0,17,Outbound,1,SYSTEM,2025-08-28 21:38:45.847464
128,1147,CALL000128,2025-09-10 21:38:45.847769,38,3,,10,Outbound,1,SYSTEM,2025-09-10 21:38:45.847769
129,928,CALL000129,2025-08-29 17:38:45.847966,287,1,4.0,41,Outbound,0,SYSTEM,2025-08-29 17:38:45.847966
130,610,CALL000130,2025-09-12 18:38:45.848179,482,1,3.0,1,Outbound,0,SYSTEM,2025-09-12 18:38:45.848179
131,394,CALL000131,2025-09-03 19:38:45.848396,29,2,,43,Outbound,1,SYSTEM,2025-09-03 19:38:45.848396
132,387,CALL000132,2025-08-27 23:38:45.848581,544,1,1.0,10,Outbound,0,SYSTEM,2025-08-27 23:38:45.848581
133,193,CALL000133,2025-08-30 20:38:45.848865,29,2,,28,Outbound,0,SYSTEM,2025-08-30 20:38:45.848865
134,139,CALL000134,2025-08-30 18:38:45.849056,29,2,,40,Outbound,1,SYSTEM,2025-08-30 18:38:45.849056
135,1195,CALL000135,2025-09-08 20:38:45.849249,43,2,,34,Outbound,1,SYSTEM,2025-09-08 20:38:45.849249
136,74,CALL000136,2025-09-09 21:38:45.849437,23,5,,49,Outbound,0,SYSTEM,2025-09-09 21:38:45.849437
137,4,CALL000137,2025-08-24 22:38:45.849629,44,2,,44,Outbound,0,SYSTEM,2025-08-24 22:38:45.849629
138,298,CALL000138,2025-08-26 23:38:45.849875,37,2,,40,Outbound,1,SYSTEM,2025-08-26 23:38:45.849875
139,1038,CALL000139,2025-09-10 20:38:45.850064,33,5,,55,Outbound,1,SYSTEM,2025-09-10 20:38:45.850064
140,389,CALL000140,2025-08-25 18:38:45.850262,190,1,4.0,48,Outbound,0,SYSTEM,2025-08-25 18:38:45.850262
141,1151,CALL000141,2025-09-04 19:38:45.850474,385,1,4.0,10,Outbound,0,SYSTEM,2025-09-04 19:38:45.850474
142,127,CALL000142,2025-09-03 00:38:45.850725,20,4,,22,Inbound,0,SYSTEM,2025-09-03 00:38:45.850725
143,399,CALL000143,2025-09-05 20:38:45.850923,30,2,,33,Outbound,1,SYSTEM,2025-09-05 20:38:45.850923
144,62,CALL000144,2025-09-17 23:38:45.851178,58,5,,22,Inbound,0,SYSTEM,2025-09-17 23:38:45.851178
145,308,CALL000145,2025-09-08 19:38:45.851389,47,3,,50,Outbound,0,SYSTEM,2025-09-08 19:38:45.851389
146,295,CALL000146,2025-09-17 18:38:45.851575,48,3,,19,Outbound,0,SYSTEM,2025-09-17 18:38:45.851575
147,1150,CALL000147,2025-09-22 00:38:45.851818,285,1,4.0,35,Inbound,0,SYSTEM,2025-09-22 00:38:45.851818
148,914,CALL000148,2025-09-05 21:38:45.852033,12,3,,34,Outbound,0,SYSTEM,2025-09-05 21:38:45.852033
149,830,CALL000149,2025-08-27 00:38:45.852220,21,3,,40,Outbound,0,SYSTEM,2025-08-27 00:38:45.852220
150,1029,CALL000150,2025-08-25 19:38:45.852426,28,3,,5,Inbound,1,SYSTEM,2025-08-25 19:38:45.852426
151,42,CALL000151,2025-09-16 19:38:45.852615,43,3,,48,Outbound,1,SYSTEM,2025-09-16 19:38:45.852615
152,1093,CALL000152,2025-08-25 21:38:45.852856,14,2,,25,Outbound,0,SYSTEM,2025-08-25 21:38:45.852856
153,384,CALL000153,2025-09-04 20:38:45.853045,779,1,1.0,26,Outbound,1,SYSTEM,2025-09-04 20:38:45.853045
154,1139,CALL000154,2025-08-28 23:38:45.853260,54,5,,45,Outbound,1,SYSTEM,2025-08-28 23:38:45.853260
155,407,CALL000155,2025-09-03 17:38:45.853447,859,1,4.0,33,Inbound,1,SYSTEM,2025-09-03 17:38:45.853447
156,548,CALL000156,2025-09-14 18:38:45.853654,58,4,,14,Outbound,1,SYSTEM,2025-09-14 18:38:45.853654
157,123,CALL000157,2025-09-15 18:38:45.853890,22,4,,10,Inbound,0,SYSTEM,2025-09-15 18:38:45.853890
158,55,CALL000158,2025-09-07 19:38:45.854076,37,4,,9,Outbound,0,SYSTEM,2025-09-07 19:38:45.854076
159,480,CALL000159,2025-09-18 00:38:45.854268,52,4,,4,Outbound,1,SYSTEM,2025-09-18 00:38:45.854268
160,1044,CALL000160,2025-08-30 17:38:45.854455,21,2,,28,Outbound,1,SYSTEM,2025-08-30 17:38:45.854455
161,1136,CALL000161,2025-08-23 19:38:45.854638,40,2,,16,Outbound,0,SYSTEM,2025-08-23 19:38:45.854638
162,549,CALL000162,2025-09-07 00:38:45.854877,25,5,,53,Outbound,0,SYSTEM,2025-09-07 00:38:45.854877
163,772,CALL000163,2025-09-08 00:38:45.855065,45,3,,43,Outbound,0,SYSTEM,2025-09-08 00:38:45.855065
164,1115,CALL000164,2025-09-04 21:38:45.855376,431,1,4.0,47,Outbound,1,SYSTEM,2025-09-04 21:38:45.855376
165,881,CALL000165,2025-08-29 22:38:45.855589,39,4,,55,Outbound,0,SYSTEM,2025-08-29 22:38:45.855589
166,369,CALL000166,2025-09-13 18:38:45.855830,48,3,,43,Outbound,0,SYSTEM,2025-09-13 18:38:45.855830
167,1111,CALL000167,2025-09-11 20:38:45.856023,286,1,2.0,21,Outbound,0,SYSTEM,2025-09-11 20:38:45.856023
168,340,CALL000168,2025-09-09 17:38:45.856234,715,1,3.0,44,Outbound,1,SYSTEM,2025-09-09 17:38:45.856234
169,199,CALL000169,2025-08-25 00:38:45.856452,10,3,,28,Outbound,1,SYSTEM,2025-08-25 00:38:45.856452
170,99,CALL000170,2025-09-01 17:38:45.856637,50,5,,43,Outbound,0,SYSTEM,2025-09-01 17:38:45.856637
171,691,CALL000171,2025-08-24 20:38:45.856878,50,2,,51,Outbound,1,SYSTEM,2025-08-24 20:38:45.856878
172,267,CALL000172,2025-09-03 00:38:45.857067,192,1,3.0,55,Inbound,0,SYSTEM,2025-09-03 00:38:45.857067
173,705,CALL000173,2025-09-02 01:38:45.857285,52,5,,47,Outbound,0,SYSTEM,2025-09-02 01:38:45.857285
174,1101,CALL000174,2025-08-29 18:38:45.857476,57,2,,8,Outbound,0,SYSTEM,2025-08-29 18:38:45.857476
175,484,CALL000175,2025-08-29 21:38:45.857662,566,1,1.0,41,Outbound,0,SYSTEM,2025-08-29 21:38:45.857662
176,5,CALL000176,2025-09-09 19:38:45.857926,28,4,,34,Inbound,0,SYSTEM,2025-09-09 19:38:45.857926
177,211,CALL000177,2025-09-07 19:38:45.858111,10,5,,32,Outbound,0,SYSTEM,2025-09-07 19:38:45.858111
178,312,CALL000178,2025-09-06 00:38:45.858303,32,3,,3,Outbound,1,SYSTEM,2025-09-06 00:38:45.858303
179,161,CALL000179,2025-09-16 18:38:45.858490,49,3,,30,Outbound,1,SYSTEM,2025-09-16 18:38:45.858490
180,339,CALL000180,2025-08-31 17:38:45.858721,43,5,,21,Outbound,1,SYSTEM,2025-08-31 17:38:45.858721
181,428,CALL000181,2025-09-05 22:38:45.858925,17,4,,33,Outbound,0,SYSTEM,2025-09-05 22:38:45.858925
182,966,CALL000182,2025-08-25 18:38:45.859178,11,4,,16,Outbound,1,SYSTEM,2025-08-25 18:38:45.859178
183,551,CALL000183,2025-08-25 20:38:45.859391,19,5,,44,Outbound,1,SYSTEM,2025-08-25 20:38:45.859391
184,523,CALL000184,2025-09-03 19:38:45.859578,27,3,,39,Outbound,0,SYSTEM,2025-09-03 19:38:45.859578
185,318,CALL000185,2025-08-31 17:38:45.859825,47,2,,22,Outbound,0,SYSTEM,2025-08-31 17:38:45.859825
186,630,CALL000186,2025-09-21 00:38:45.860016,15,5,,4,Outbound,0,SYSTEM,2025-09-21 00:38:45.860016
187,444,CALL000187,2025-08-25 20:38:45.860201,18,3,,28,Outbound,1,SYSTEM,2025-08-25 20:38:45.860201
188,665,CALL000188,2025-09-15 22:38:45.860399,345,1,1.0,5,Outbound,0,SYSTEM,2025-09-15 22:38:45.860399
189,371,CALL000189,2025-08-29 23:38:45.860607,37,4,,36,Inbound,0,SYSTEM,2025-08-29 23:38:45.860607
190,916,CALL000190,2025-09-09 00:38:45.860851,437,1,1.0,21,Outbound,0,SYSTEM,2025-09-09 00:38:45.860851
191,327,CALL000191,2025-09-04 01:38:45.861063,40,4,,38,Outbound,0,SYSTEM,2025-09-04 01:38:45.861063
192,746,CALL000192,2025-08-28 22:38:45.861276,27,4,,14,Outbound,0,SYSTEM,2025-08-28 22:38:45.861276
193,168,CALL000193,2025-08-26 22:38:45.861463,53,1,3.0,17,Inbound,1,SYSTEM,2025-08-26 22:38:45.861463
194,1021,CALL000194,2025-09-19 17:38:45.861703,56,3,,51,Outbound,0,SYSTEM,2025-09-19 17:38:45.861703
195,485,CALL000195,2025-08-29 19:38:45.861905,64,1,2.0,4,Outbound,1,SYSTEM,2025-08-29 19:38:45.861905
196,1136,CALL000196,2025-08-26 21:38:45.862115,707,1,5.0,36,Outbound,1,SYSTEM,2025-08-26 21:38:45.862115
197,237,CALL000197,2025-09-04 23:38:45.862329,36,5,,55,Outbound,0,SYSTEM,2025-09-04 23:38:45.862329
198,88,CALL000198,2025-09-19 01:38:45.862519,491,1,3.0,10,Inbound,0,SYSTEM,2025-09-19 01:38:45.862519
199,302,CALL000199,2025-09-14 20:38:45.862774,14,4,,42,Outbound,1,SYSTEM,2025-09-14 20:38:45.862774
200,261,CALL000200,2025-09-02 20:38:45.862971,620,1,3.0,39,Outbound,0,SYSTEM,2025-09-02 20:38:45.862971
201,300,CALL000201,2025-09-12 23:38:45.863263,50,2,,9,Outbound,0,SYSTEM,2025-09-12 23:38:45.863263
202,803,CALL000202,2025-09-16 01:38:45.863458,859,1,4.0,9,Inbound,1,SYSTEM,2025-09-16 01:38:45.863458
203,929,CALL000203,2025-08-26 01:38:45.863795,53,3,,54,Outbound,1,SYSTEM,2025-08-26 01:38:45.863795
204,91,CALL000204,2025-08-27 22:38:45.864030,20,2,,22,Outbound,1,SYSTEM,2025-08-27 22:38:45.864030
205,1190,CALL000205,2025-08-27 23:38:45.864217,12,3,,9,Outbound,0,SYSTEM,2025-08-27 23:38:45.864217
206,1126,CALL000206,2025-08-30 19:38:45.864413,499,1,2.0,25,Inbound,0,SYSTEM,2025-08-30 19:38:45.864413
207,1032,CALL000207,2025-09-04 23:38:45.864621,50,4,,21,Outbound,0,SYSTEM,2025-09-04 23:38:45.864621
208,191,CALL000208,2025-09-09 20:38:45.864911,25,3,,23,Outbound,0,SYSTEM,2025-09-09 20:38:45.864911
209,1005,CALL000209,2025-09-13 17:38:45.865101,532,1,1.0,14,Inbound,1,SYSTEM,2025-09-13 17:38:45.865101
210,368,CALL000210,2025-08-30 17:38:45.865316,50,2,,53,Outbound,0,SYSTEM,2025-08-30 17:38:45.865316
211,56,CALL000211,2025-08-26 22:38:45.865502,16,2,,46,Outbound,1,SYSTEM,2025-08-26 22:38:45.865502
212,434,CALL000212,2025-08-29 23:38:45.865731,621,1,2.0,32,Outbound,0,SYSTEM,2025-08-29 23:38:45.865731
213,502,CALL000213,2025-09-02 18:38:45.865952,47,3,,26,Inbound,0,SYSTEM,2025-09-02 18:38:45.865952
214,492,CALL000214,2025-08-24 22:38:45.866138,363,1,2.0,42,Outbound,0,SYSTEM,2025-08-24 22:38:45.866138
215,955,CALL000215,2025-09-04 18:38:45.866359,40,4,,8,Outbound,1,SYSTEM,2025-09-04 18:38:45.866359
